n_ind,loc,spd,dt,eng,remark
38,1.07606,0.03,0.20,199011.63,captured
39,0.81000,1.00,0,0.70,alive
39,1.00000,1.00,0.23,0.70,alive
39,1.28168,0.50,0.31,0.50,captured
40,0.29749,1.00,0,2000085.00,alive
40,1.00000,1.00,0.70,2000085.00,alive
40,1.08032,0.50,0.08,1432013.52,elastic-scatter
40,0.99911,0.25,0.26,1025287.79,back-scatter
41,0.29886,1.00,0,608.75,alive
41,1.00000,1.00,0.81,608.75,alive
41,1.06413,0.50,0.07,435.85,elastic-scatter
41,1.18289,0.25,0.25,312.06,elastic-scatter
41,1.19941,0.13,0.07,223.43,elastic-scatter
41,1.12485,0.06,1.12,159.97,elastic-scatter
41,1.12664,0.03,0.08,114.53,elastic-scatter
41,1.12495,0.02,0.06,82.00,elastic-scatter
41,1.12461,0.01,0.10,58.71,elastic-scatter
41,1.12543,0.00,0.24,42.04,captured
42,0.43725,1.00,0,9814.20,alive
42,1.00000,1.00,1.36,9814.20,alive
42,1.47854,0.50,0.49,7026.74,elastic-scatter
42,1.47863,0.25,0.00,5030.98,elastic-scatter
42,1.46110,0.12,0.08,3602.06,elastic-scatter
42,1.45947,0.06,0.01,2578.99,elastic-scatter
42,1.45965,0.03,0.00,1846.50,elastic-scatter
42,1.45480,0.02,0.28,1322.05,elastic-scatter
42,1.45436,0.01,0.19,946.55,elastic-scatter
42,1.45407,0.00,0.06,677.71,elastic-scatter
42,1.45590,0.00,0.49,485.22,elastic-scatter
42,1.45620,0.00,0.40,347.41,elastic-scatter
42,1.45625,0.00,0.12,248.74,elastic-scatter
42,1.45618,0.00,0.16,178.09,elastic-scatter
42,1.45619,0.00,0.12,127.51,elastic-scatter
42,1.45619,0.00,0.03,91.29,elastic-scatter
42,1.45621,0.00,0.42,65.36,elastic-scatter
42,1.45622,0.00,0.24,46.80,elastic-scatter
42,1.45622,0.00,0.02,33.51,elastic-scatter
42,1.45622,0.00,0.19,23.99,elastic-scatter
42,1.45622,0.00,0.29,17.18,elastic-scatter
42,1.45622,0.00,1.01,12.30,elastic-scatter
42,1.45622,0.00,0.19,8.80,elastic-scatter
42,1.45622,0.00,0.11,6.30,elastic-scatter
42,1.45622,0.00,0.13,4.51,elastic-scatter
42,1.45622,0.00,0.00,3.23,elastic-scatter
42,1.45622,0.00,0.06,2.31,elastic-scatter
42,1.45622,0.00,0.24,1.66,elastic-scatter
42,1.45622,0.00,0.19,1.19,elastic-scatter
42,1.45622,0.00,0.06,0.85,captured
43,0.24449,1.00,0,0.25,alive
43,1.00000,1.00,0.78,0.25,alive
43,1.03003,0.50,0.03,0.18,captured
44,0.24542,1.00,0,0.46,alive
44,1.00000,1.00,1.19,0.46,alive
44,1.05880,0.50,0.06,0.33,captured
45,0.68971,1.00,0,2000064.00,alive
45,1.00000,1.00,1.62,2000064.00,alive
45,1.07279,0.50,0.07,1431998.49,elastic-scatter
45,1.05954,0.25,0.03,1025277.02,elastic-scatter
45,1.12739,0.13,0.36,734074.08,elastic-scatter
45,1.16268,0.06,0.33,525579.67,elastic-scatter
45,1.16233,0.03,0.02,376302.60,elastic-scatter
45,1.16119,0.02,0.04,269423.76,elastic-scatter
45,1.16346,0.01,0.15,192901.03,elastic-scatter
45,1.16126,0.00,0.29,138112.57,elastic-scatter
45,1.16078,0.00,0.15,98885.33,elastic-scatter
45,1.16102,0.00,0.60,70799.56,elastic-scatter
45,1.16098,0.00,0.11,50690.81,elastic-scatter
45,1.16102,0.00,0.14,36293.42,elastic-scatter
45,1.16104,0.00,0.09,25985.23,elastic-scatter
45,1.16104,0.00,0.03,18604.81,elastic-scatter
45,1.16103,0.00,0.09,13320.60,elastic-scatter
45,1.16103,0.00,0.13,9537.24,elastic-scatter
45,1.16103,0.00,0.06,6828.44,captured
46,0.64280,1.00,0,0.85,alive
46,1.00000,1.00,1.56,0.85,alive
46,1.24552,0.50,0.25,0.61,captured
47,0.32175,1.00,0,2000011.00,alive
47,1.00000,1.00,1.26,2000011.00,alive
47,1.17324,0.50,0.18,1431960.54,elastic-scatter
47,1.27082,0.25,0.26,1025249.85,elastic-scatter
47,1.24655,0.12,0.12,734054.63,elastic-scatter
47,1.26678,0.06,0.18,525565.74,elastic-scatter
47,1.26753,0.03,0.12,376292.63,elastic-scatter
47,1.26479,0.02,0.27,269416.62,elastic-scatter
47,1.26473,0.01,0.07,192895.92,elastic-scatter
47,1.26454,0.00,0.03,138108.91,elastic-scatter
47,1.26458,0.00,0.15,98882.71,elastic-scatter
47,1.26474,0.00,0.09,70797.68,elastic-scatter
47,1.26451,0.00,0.28,50689.46,elastic-scatter
47,1.26451,0.00,0.01,36292.46,elastic-scatter
47,1.26450,0.00,0.03,25984.54,elastic-scatter
47,1.26452,0.00,0.15,18604.32,elastic-scatter
47,1.26450,0.00,0.95,13320.25,elastic-scatter
47,1.26450,0.00,0.19,9536.98,elastic-scatter
47,1.26450,0.00,0.04,6828.25,elastic-scatter
47,1.26450,0.00,0.02,4888.87,elastic-scatter
47,1.26451,0.00,1.16,3500.31,elastic-scatter
47,1.26451,0.00,0.31,2506.14,elastic-scatter
47,1.26451,0.00,0.39,1794.34,elastic-scatter
47,1.26451,0.00,0.28,1284.70,elastic-scatter
47,1.26451,0.00,0.12,919.82,elastic-scatter
47,1.26451,0.00,0.11,658.57,elastic-scatter
